2481,Stainless,3.5,16,200,4.17
2549,Copper,3.5,75,500,14.81
2582,Stainless,3.5,25,500,4.23
2683,Plastic,4,40,200,4.4814
2856,Stainless,4,25,200,4.75
3190,Copper,5,40,200,10.16
3288,Plastic,3.5,75,500,9.7746
3292,Steel,4,25,200,3.135
3499,Copper,3.5,60,500,7.953
3561,Stainless,3.5,50,500,8.68
3720,Stainless,3.5,60,500,12.05
3739,Copper,5,40,200,6.7056
3818,Steel,5,50,200,9.0618
3966,Stainless,3.5,38,500,6.66
4038,Steel,3.5,50,500,5.7288
4068,Stainless,3.5,32,500,5.39
4153,Stainless,5,50,200,13.73
4337,Plastic,4,30,200,5.53
4373,Steel,4,30,200,3.6498
4455,Stainless,4,40,200,6.79
4460,Steel,3.5,32,500,3.5574
4499,Stainless,3.5,42,500,7.99
4526,Copper,3.5,16,200,2.7522
4583,Plastic,3.5,38,500,4.3956
4675,Steel,3.5,25,500,2.7918
5286,Steel,3.5,42,500,5.2734
